                    clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
AbCn01.trimmed              478449            392662             8499             3836         73452  6902567   70791        0.01026
AcCh03.trimmed              667490            528047             9239             4112        126092 11602589  114383        0.00986
AfJa2029.trimmed            336522            299387             1137              640         35358  3396999   20727        0.00610
AgCp02.trimmed              222707            197433             1223              577         23474  2185588   15761        0.00721
AgGr02.trimmed              447731            411069             2250             1289         33123  3115374   21285        0.00683
AgGu01.trimmed             1341335           1207484            13461             8429        111961 10315162  160137        0.01552
AjJaAlf9.trimmed             45206             22881              806              140         21379  2008087   10409        0.00518
AmJa2125.trimmed            353378            315636             1835              952         34955  3248670   22552        0.00694
AnAl01.trimmed             1398603           1296865            18401             8686         74651  6939747   87055        0.01254
ArJaC127.trimmed            153338            117629             1066              259         34384  3303807   17119        0.00518
ArMeTo12.trimmed            437661            372711             3776             2394         58780  5472302   64532        0.01179
ArMi5515.trimmed             67953             49742              721              148         17342  1629859    8101        0.00497
ArVe4819_r4.trimmed          78335             53387             1099              200         23649  2249209   12158        0.00541
AuDg02.trimmed               82122             54436             1539              414         25733  2395225   13814        0.00577
AvNl02.trimmed              116232             84582             1751              571         29328  2760307   18084        0.00655
